,open_time,close_time,Open,High,Low,Volume
25,1599181200000,1599184799999,329.99000000,330.92000000,326.98000000,115.68781000
26,1599184800000,1599188399999,329.30000000,329.34000000,323.26000000,164.38931000
27,1599188400000,1599191999999,327.66000000,330.00000000,324.98000000,46.75808000
28,1599192000000,1599195599999,326.90000000,330.27000000,325.07000000,112.79793000
29,1599195600000,1599199199999,328.62000000,330.26000000,326.50000000,51.92504000
30,1599199200000,1599202799999,329.94000000,330.28000000,325.33000000,182.44699000
31,1599202800000,1599206399999,326.16000000,329.00000000,319.00000000,310.76473000
32,1599206400000,1599209999999,328.50000000,337.58000000,328.50000000,386.99733000
33,1599210000000,1599213599999,336.63000000,340.00000000,333.72000000,346.61410000
34,1599213600000,1599217199999,339.06000000,339.70000000,335.74000000,104.35904000
35,1599217200000,1599220799999,335.36000000,336.72000000,332.29000000,109.39666000
36,1599220800000,1599224399999,335.80000000,337.52000000,333.00000000,113.63074000
37,1599224400000,1599227999999,336.70000000,340.00000000,333.57000000,184.34474000
38,1599228000000,1599231599999,334.00000000,334.00000000,305.00000000,606.52831000
39,1599231600000,1599235199999,326.05000000,328.33000000,317.20000000,251.73336000
40,1599235200000,1599238799999,326.56000000,329.98000000,320.95000000,175.92353000
41,1599238800000,1599242399999,326.50000000,327.38000000,323.26000000,51.99618000
42,1599242400000,1599245999999,326.74000000,328.54000000,322.00000000,86.71873000
43,1599246000000,1599249599999,328.25000000,333.58000000,326.56000000,176.63984000
44,1599249600000,1599253199999,333.58000000,333.75000000,329.44000000,69.18126000
45,1599253200000,1599256799999,332.49000000,334.20000000,330.37000000,118.52747000
46,1599256800000,1599260399999,329.98000000,333.86000000,329.04000000,79.51842000
47,1599260400000,1599263999999,328.97000000,329.74000000,327.48000000,28.03205000
48,1599264000000,1599267599999,328.00000000,335.36000000,328.00000000,37.73160000
49,1599267600000,1599271199999,329.44000000,333.24000000,327.37000000,40.76228000
50,1599271200000,1599274799999,332.22000000,332.61000000,329.10000000,7.52831000
